"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"NIGP01001430","41196","41252",56,"4438","4573",135
"NIGP01001430","41196","41252",56,"6500","6745",245
"NIGP01001492","235030","235370",340,"9","40",31
"1","310576815","310577299",484,"12944","13130",186
"NIGP01001382","183","573",390,"1100","2106",1006
"1","285701355","285701451",96,"3407","3455",48
"1","285701355","285701451",96,"8804","9256",452
"NIGP01001382","183","573",390,"6778","7732",954
"NIGP01001382","183","573",390,"10625","12451",1826
"1","285701355","285701451",96,"112","656",544
"1","285701355","285701451",96,"1381","1792",411
"3","278216142","278216171",29,"8897","9390",493
"3","338999765","338999862",97,"234","660",426
"NIGP01001382","183","573",390,"8385","9548",1163
"3","338998789","338998863",74,"14887","15649",762
"1","191822685","191823010",325,"38","321",283
"2","415006022","415006359",337,"545","595",50
"2","224319289","224319380",91,"13382","13668",286
"2","224319289","224319380",91,"15689","15815",126
"2","224319289","224319380",91,"6573","6741",168
"3","326462788","326462819",31,"10516","10819",303
"3","100382838","100383131",293,"12464","12492",28
"1","244998860","244999005",145,"3515","4140",625
"1","244998860","244999005",145,"4782","5606",824
"2","224319289","224319380",91,"4019","4296",277
"2","224319289","224319380",91,"8603","8764",161
"NIGP01001900","28290","28826",536,"3107","5782",2675
"1","291024717","291025273",556,"11102","11580",478
"NIGP01001900","28290","28826",536,"14713","16647",1934
"1","119868035","119868917",882,"14700","14822",122
"2","224319289","224319380",91,"4810","5104",294
"1","244998860","244999005",145,"10197","11104",907
"NIGP01001900","28290","28826",536,"7","2515",2508
"2","304093069","304093670",601,"13192","13217",25
"2","105218254","105218465",211,"11030","11078",48
"1","119868035","119868917",882,"15448","15629",181
"1","244998860","244999005",145,"11672","13489",1817
"1","244998860","244999005",145,"522","1968",1446
"2","224319289","224319380",91,"7289","7845",556
"2","159220715","159220862",147,"1358","1379",21
"3","25051433","25051470",37,"784","860",76
"1","244998860","244999005",145,"14297","16598",2301
"2","224319289","224319380",91,"14747","15165",418
"2","303165464","303165689",225,"16303","16361",58
"3","240418668","240419294",626,"11685","11711",26
"1","68028277","68028840",563,"10229","10266",37
"NIGP01001900","28290","28826",536,"6299","13520",7221
"2","224319289","224319380",91,"823","2546",1723
"2","224319289","224319380",91,"9374","11878",2504
"2","101605269","101605355",86,"16300","16454",154
"1","244998860","244999005",145,"6419","9423",3004
"2","3267133","3267280",147,"7335","7498",163
"1","12803962","12804006",44,"14823","16434",1611
"3","338999765","338999862",97,"16206","16444",238
"1","12803962","12804006",44,"1","3230",3229
"3","135884732","135884844",112,"15114","16276",1162
"1","12803962","12804006",44,"3781","13902",10121
