"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"1","244998884","244998991",107,"5304","5725",421
"1","244998884","244998991",107,"7729","8212",483
"NIGP01000723","12699","13119",420,"2756","2941",185
"NIGP01001900","28290","28800",510,"11073","11347",274
"NIGP01001900","28290","28800",510,"880","1031",151
"2","464436380","464436482",102,"8168","8306",138
"NIGP01001900","28290","28800",510,"16362","16589",227
"NIGP01001900","28290","28800",510,"2109","2721",612
"NIGP01001900","28290","28800",510,"6159","6665",506
"3","359999644","359999885",241,"5459","5558",99
"NIGP01001900","28290","28800",510,"11909","13117",1208
"1","191831140","191831300",160,"7458","7639",181
"2","304093579","304093755",176,"13192","13216",24
"2","463757143","463757653",510,"11632","11734",102
"1","27375277","27375481",204,"12954","13064",110
"1","91635040","91635298",258,"15448","15629",181
"3","135905988","135906012",24,"16182","16270",88
"3","101566137","101566391",254,"2803","2845",42
"3","326460130","326460190",60,"6456","6712",256
"3","124007526","124007826",300,"2944","3576",632
"2","3267133","3267338",205,"7335","7578",243
