"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"NIGP01001900","28290","28743",453,"11120","11147",27
"NIGP01001900","28290","28743",453,"6686","6729",43
"NIGP01001900","28290","28743",453,"8173","8330",157
"NIGP01001900","28290","28743",453,"940","1075",135
"3","371549535","371549588",53,"7533","7624",91
"NIGP01001382","207","277",70,"12214","12910",696
"2","383516530","383516551",21,"15936","15984",48
"NIGP01001900","28290","28743",453,"12912","13702",790
"NIGP01001900","28290","28743",453,"9598","10376",778
"NIGP01001900","28290","28743",453,"11917","12406",489
"2","367105951","367105992",41,"13737","13894",157
"1","244998871","244998989",118,"12548","12690",142
"1","244998871","244998989",118,"6659","6709",50
"1","310576869","310577428",559,"12932","13148",216
"2","114493658","114493680",22,"7077","7168",91
"1","291024759","291025122",363,"11507","11575",68
"1","12803962","12803987",25,"11079","11121",42
"1","12803962","12803987",25,"12615","13043",428
"1","12803962","12803987",25,"6442","6700",258
"1","12803962","12803987",25,"16354","16399",45
"1","12803962","12803987",25,"8135","8226",91
"3","123626623","123626791",168,"7566","7860",294
"1","178458819","178458865",46,"13691","13862",171
"3","245380555","245380897",342,"16265","16598",333
"3","245380555","245380897",342,"6","129",123
"2","105218254","105218508",254,"11030","11102",72
"3","326460129","326460200",71,"6663","6727",64
"2","109839349","109839447",98,"7840","7988",148
"3","124007392","124007914",522,"2904","3610",706
"3","135884035","135884117",82,"16330","16393",63
"2","3267133","3267312",179,"7335","7538",203
