"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"NIGP01001382","215","609",394,"10175","10479",304
"NIGP01001382","215","609",394,"8414","8714",300
"1","310576865","310577109",244,"12980","13097",117
"NIGP01001382","215","609",394,"11238","12224",986
"NIGP01001900","28290","28806",516,"3809","4896",1087
"1","244998862","244999005",143,"16391","16638",247
"1","244998862","244999005",143,"5627","5891",264
"1","291024893","291025182",289,"11341","11575",234
"3","364573662","364574124",462,"11239","11289",50
"NIGP01001900","28290","28806",516,"1889","2460",571
"NIGP01001900","28290","28806",516,"16086","16555",469
"NIGP01001900","28290","28806",516,"14779","15377",598
"1","191811400","191811480",80,"11039","11075",36
"1","244998862","244999005",143,"13439","13687",248
"2","463757439","463757472",33,"11632","11699",67
"NIGP01001900","28290","28806",516,"47","1388",1341
"1","12803964","12803998",34,"13210","13287",77
"NIGP01001900","28290","28806",516,"10574","11835",1261
"NIGP01001900","28290","28806",516,"12582","14233",1651
"1","244998862","244999005",143,"3420","4164",744
"3","181174217","181174298",81,"13795","13833",38
"2","224319301","224319379",78,"12760","13242",482
"1","12803964","12803998",34,"14881","15157",276
"1","12803964","12803998",34,"3339","4231",892
"1","12803964","12803998",34,"6525","7075",550
"2","383516525","383516548",23,"15935","16013",78
"NIGP01001900","28290","28806",516,"6001","9454",3453
"1","4535498","4535659",161,"6176","6208",32
"3","326460128","326460180",52,"6665","6710",45
"1","12803964","12803998",34,"11735","11925",190
"3","1112828","1112862",34,"15448","15629",181
"2","224319301","224319379",78,"10549","10755",206
"2","224319301","224319379",78,"9524","9948",424
"3","160406336","160406453",117,"9005","9188",183
"1","12803964","12803998",34,"10170","11055",885
"1","12803964","12803998",34,"608","1221",613
"1","12803964","12803998",34,"8553","8788",235
"1","244998862","244999005",143,"34","1796",1762
"1","244998862","244999005",143,"14707","15646",939
"1","244998862","244999005",143,"6657","8534",1877
"3","32387374","32387404",30,"14273","14298",25
"2","145281513","145281869",356,"10217","10266",49
"2","224319301","224319379",78,"15141","16392",1251
"2","224319301","224319379",78,"7915","9001",1086
"2","114503219","114503664",445,"16091","16458",367
"1","244998862","244999005",143,"9274","12128",2854
"2","3267133","3267275",142,"7401","7587",186
"3","240418681","240419394",713,"11687","11727",40
"3","135884729","135884804",75,"15196","15354",158
"3","338999745","338999863",118,"16185","16400",215
