"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"2","383516528","383516549",21,"15939","15968",29
"NIGP01001900","28291","28848",557,"16064","16399",335
"3","364573918","364574050",132,"11281","11363",82
"NIGP01001900","28291","28848",557,"12235","12977",742
"1","291024822","291025120",298,"11052","11581",529
"1","255421371","255421710",339,"5978","6153",175
"1","76961855","76961885",30,"3824","3848",24
"2","114503548","114503668",120,"16366","16389",23
"1","191811368","191811404",36,"10646","10692",46
"3","124007465","124007917",452,"2904","2965",61
"3","137885114","137885181",67,"80","243",163
"2","101605269","101605408",139,"16309","16373",64
"3","326460132","326460212",80,"6665","6964",299
"3","9865499","9865735",236,"927","1303",376
"3","135884035","135884124",89,"16357","16391",34
