"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"2","464436446","464436478",32,"9164","9280",116
"NIGP01001382","183","253",70,"12529","12978",449
"NIGP01001382","183","253",70,"6663","6697",34
"3","401479778","401479925",147,"796","850",54
"1","310576979","310577370",391,"12960","13155",195
"1","244998910","244998971",61,"16380","16583",203
"1","284465477","284465612",135,"11104","11140",36
"1","291024855","291025050",195,"11515","11580",65
"2","224319312","224319354",42,"10098","10376",278
"2","337429777","337429992",215,"1270","1297",27
"2","391139867","391139947",80,"1","55",54
"1","78137301","78137332",31,"319","367",48
"3","338999233","338999256",23,"15776","15837",61
"1","12803964","12804025",61,"15775","15806",31
"1","12803964","12804025",61,"5358","5390",32
"3","359999563","360000020",457,"5326","5535",209
"1","191811374","191811441",67,"11144","11564",420
"2","424600863","424600983",120,"11689","12171",482
"2","391139867","391139947",80,"16278","16450",172
"3","271990056","271990711",655,"16280","16449",169
"3","160406387","160406484",97,"9001","9088",87
"1","51601842","51601954",112,"13114","13357",243
"1","4535497","4535651",154,"6176","6207",31
"2","304093180","304093706",526,"13192","13213",21
"2","430920985","430921577",592,"11374","11420",46
"3","201716021","201716600",579,"3694","3721",27
"2","293333767","293333846",79,"16354","16486",132
"1","119868646","119868931",285,"15434","15629",195
"3","215173185","215173312",127,"12443","12623",180
"3","326460127","326460208",81,"6666","6732",66
"3","135884034","135884127",93,"16354","16393",39
"2","3267132","3267282",150,"7370","7621",251
