"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"NIGP01001900","28290","28752",462,"13672","14041",369
"NIGP01001900","28290","28752",462,"16366","16575",209
"NIGP01001900","28290","28752",462,"5308","5350",42
"1","244998922","244998983",61,"6667","6688",21
"1","298729239","298729312",73,"7073","7142",69
"3","364573838","364574045",207,"11227","11318",91
"1","91635060","91635190",130,"15448","15629",181
"3","326460145","326460203",58,"6667","6701",34
"1","191831125","191831281",156,"7612","7636",24
"1","119868654","119868935",281,"15448","15629",181
"3","211374613","211374684",71,"1906","1952",46
"3","25051431","25051456",25,"784","835",51
"3","124007377","124007731",354,"2997","3575",578
"3","240418849","240419350",501,"11687","11727",40
