"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"NIGP01000723","16044","16096",52,"15818","15981",163
"NIGP01001900","28291","28795",504,"11032","11289",257
"NIGP01001900","28291","28795",504,"3589","3661",72
"NIGP01001900","28291","28795",504,"9548","10033",485
"NIGP01001900","28291","28795",504,"6065","6742",677
"3","359999583","359999912",329,"5490","5535",45
"3","359999583","359999912",329,"6279","6448",169
"NIGP01000723","9845","9938",93,"5874","5914",40
"1","255421355","255421677",322,"5979","6011",32
"2","463757469","463757556",87,"11634","11706",72
"1","244998889","244998997",108,"6711","6767",56
"1","284465502","284465612",110,"11104","11128",24
"NIGP01001900","28291","28795",504,"15820","16602",782
"1","177571664","177572158",494,"13565","13666",101
"1","244998889","244998997",108,"9542","9725",183
"2","424600875","424600941",66,"11697","11728",31
"NIGP01001900","28291","28795",504,"12187","14668",2481
"1","291024782","291025127",345,"11328","11579",251
"1","51601842","51601903",61,"13058","13336",278
"2","268582247","268582277",30,"4118","4156",38
"2","415006022","415006154",132,"545","609",64
"3","137885138","137885214",76,"80","150",70
"2","182422020","182422163",143,"9040","9234",194
"2","321982796","321983094",298,"8000","8231",231
"2","145281577","145281758",181,"10141","10238",97
"3","240418670","240419457",787,"11684","11721",37
"2","3267133","3267276",143,"7383","7659",276
