"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"NIGP01001382","219","500",281,"10266","10657",391
"NIGP01001382","219","500",281,"11682","11993",311
"NIGP01001382","219","500",281,"6643","6780",137
"NIGP01001900","28290","28884",594,"1149","1242",93
"NIGP01001900","28290","28884",594,"13449","13722",273
"NIGP01001900","28290","28884",594,"29","388",359
"1","244998869","244998994",125,"11747","11901",154
"1","244998869","244998994",125,"1481","1806",325
"1","244998869","244998994",125,"216","437",221
"1","244998869","244998994",125,"12928","13670",742
"1","244998869","244998994",125,"3739","3882",143
"2","337429763","337429944",181,"1270","1307",37
"NIGP01001900","28290","28884",594,"2524","3556",1032
"NIGP01001900","28290","28884",594,"10808","12807",1999
"1","12803963","12803990",27,"14855","15351",496
"1","12803963","12803990",27,"16167","16518",351
"1","12803963","12803990",27,"4071","4135",64
"1","244998869","244998994",125,"9621","10162",541
"2","224319289","224319369",80,"14775","15116",341
"2","224319289","224319369",80,"9611","9979",368
"3","192921034","192921137",103,"2899","2983",84
"3","401479702","401479915",213,"805","838",33
"NIGP01001900","28290","28884",594,"4161","5671",1510
"1","244998869","244998994",125,"15363","15664",301
"NIGP01001900","28290","28884",594,"14921","16603",1682
"1","12803963","12803990",27,"6888","7257",369
"1","12803963","12803990",27,"9329","9419",90
"1","119868780","119868988",208,"15448","15609",161
"2","224319289","224319369",80,"6668","7498",830
"NIGP01001900","28290","28884",594,"6767","10258",3491
"1","244998869","244998994",125,"6737","8610",1873
"1","12803963","12803990",27,"10691","11817",1126
"1","12803963","12803990",27,"31","1693",1662
"3","135884733","135884804",71,"15087","15272",185
"3","338999768","338999863",95,"16355","16476",121
