"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"NIGP01001900","28291","28754",463,"11700","11916",216
"NIGP01001900","28291","28754",463,"12819","13146",327
"NIGP01001900","28291","28754",463,"13899","14297",398
"1","298729166","298729312",146,"7041","7151",110
"2","399086336","399086373",37,"13546","13682",136
"3","357102889","357102922",33,"7540","7590",50
"3","401479818","401479905",87,"808","838",30
"2","337429866","337429980",114,"1270","1304",34
"1","91635128","91635150",22,"15448","15629",181
"3","181176735","181176923",188,"13548","13656",108
"1","191831178","191831314",136,"7440","7652",212
"2","293333767","293333812",45,"16355","16408",53
"3","273293811","273293914",103,"9550","9690",140
"3","326460133","326460209",76,"6665","6964",299
"3","211374615","211374714",99,"1909","1935",26
"1","12803972","12804000",28,"12409","12635",226
"2","114503229","114503674",445,"16091","16367",276
"1","119868645","119868943",298,"15427","15629",202
"2","216372422","216372655",233,"12330","12355",25
"3","124007728","124007886",158,"2941","3078",137
"1","52211103","52211185",82,"16456","16575",119
"3","181174209","181174350",141,"13795","13878",83
"3","240418668","240419327",659,"11684","11727",43
"2","3267133","3267273",140,"7386","7680",294
