"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"NIGP01000723","16077","16116",39,"15775","15983",208
"NIGP01001900","28290","28859",569,"5863","6122",259
"NIGP01001900","28290","28859",569,"6694","6736",42
"3","403503734","403503929",195,"3145","3196",51
"NIGP01001900","28290","28859",569,"2222","2944",722
"NIGP01001900","28290","28859",569,"7722","8237",515
"NIGP01001900","28290","28859",569,"9547","10088",541
"1","291024897","291025185",288,"11514","11573",59
"NIGP01001900","28290","28859",569,"12335","13650",1315
"1","244998868","244998970",102,"13883","13926",43
"2","224319301","224319363",62,"10086","10431",345
"1","261049110","261049152",42,"10231","10489",258
"1","12803964","12803987",23,"13273","13717",444
"1","12803964","12803987",23,"14281","14661",380
"1","12803964","12803987",23,"16424","16614",190
"2","293333802","293333865",63,"16355","16471",116
"1","121549797","121549838",41,"11089","11125",36
"3","211374635","211374718",83,"1909","1956",47
"1","12803964","12803987",23,"12207","12465",258
"1","12803964","12803987",23,"3525","3712",187
"1","12803964","12803987",23,"6704","6742",38
"1","27375277","27375628",351,"12951","13277",326
"1","91635073","91635281",208,"15448","15629",181
"1","12803964","12803987",23,"1632","2188",556
"2","105218254","105218464",210,"11030","11108",78
"3","137885113","137885183",70,"80","135",55
"3","124007343","124007826",483,"2934","3631",697
"3","240418582","240419418",836,"11684","11731",47
"2","3267133","3267404",271,"7369","7625",256
