"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"NIGP01001382","223","363",140,"11971","12205",234
"NIGP01001900","28291","28772",481,"14235","14321",86
"NIGP01001900","28291","28772",481,"1599","1640",41
"NIGP01001900","28291","28772",481,"5479","5528",49
"NIGP01001900","28291","28772",481,"6082","6150",68
"NIGP01001900","28291","28772",481,"8177","8274",97
"NIGP01000723","16087","16114",27,"15798","15852",54
"NIGP01001900","28291","28772",481,"9690","10384",694
"2","398623922","398623962",40,"15448","15629",181
"1","310576910","310577163",253,"12936","13175",239
"2","383516521","383516551",30,"15941","16029",88
"2","463757434","463757578",144,"11644","11735",91
"NIGP01001900","28291","28772",481,"11971","13705",1734
"3","338999034","338999072",38,"15828","15919",91
"1","244998891","244998988",97,"12304","12356",52
"3","364573834","364574086",252,"11215","11296",81
"1","191811608","191811934",326,"11681","11724",43
"1","255421355","255421729",374,"6127","6170",43
"3","271986411","271986446",35,"14791","14827",36
"1","262015586","262015611",25,"15942","16091",149
"2","150172416","150172796",380,"11000","11042",42
"1","291024734","291025135",401,"11517","11559",42
"2","114499551","114499636",85,"12424","12471",47
"3","135884739","135884808",69,"15971","16067",96
"3","135905956","135905979",23,"15825","15968",143
"2","145281513","145281622",109,"10154","10294",140
"3","124007363","124007936",573,"2904","3617",713
"2","3162058","3162157",99,"5592","5672",80
