"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"NIGP01001900","28291","28809",518,"12390","12418",28
"NIGP01001900","28291","28809",518,"8113","8215",102
"NIGP01001900","28291","28809",518,"9546","9696",150
"1","310576831","310577441",610,"12961","13158",197
"2","399086313","399086841",528,"13546","13723",177
"NIGP01001900","28291","28809",518,"5947","6207",260
"3","403503725","403504217",492,"3145","3212",67
"2","233775795","233775819",24,"13096","13164",68
"2","244094561","244094866",305,"10145","10367",222
"2","303165526","303165706",180,"16306","16360",54
"3","271990199","271990404",205,"11578","11687",109
"3","273293804","273293924",120,"9538","9628",90
"1","119868011","119868150",139,"14660","14687",27
"3","135905984","135906034",50,"15970","16016",46
"3","211374593","211374652",59,"1909","1937",28
"1","119868696","119868934",238,"15448","15629",181
"1","291024722","291025301",579,"11047","11573",526
"3","101566296","101566435",139,"2803","2838",35
"2","114503322","114503674",352,"15939","16624",685
"2","105218254","105218782",528,"11060","11141",81
"3","240418615","240419598",983,"11684","11710",26
