"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"NIGP01001900","28291","28807",516,"11011","11325",314
"NIGP01001900","28291","28807",516,"998","1431",433
"1","284465489","284465612",123,"11104","11131",27
"NIGP01001900","28291","28807",516,"9549","9622",73
"2","449457204","449457233",29,"16493","16602",109
"1","244998888","244999000",112,"2802","2968",166
"1","244998888","244999000",112,"8146","8171",25
"NIGP01001900","28291","28807",516,"5522","6740",1218
"1","244998888","244999000",112,"12547","12919",372
"1","244998888","244999000",112,"14077","14302",225
"NIGP01001900","28291","28807",516,"12514","14150",1636
"2","362537307","362537357",50,"2","32",30
"1","191817898","191817936",38,"14792","14838",46
"1","214398562","214398754",192,"10634","10689",55
"1","244998888","244999000",112,"6213","6754",541
"2","391139856","391139928",72,"16259","16449",190
"3","175073647","175073816",169,"5712","5754",42
"3","271990062","271990215",153,"16276","16457",181
"2","224319296","224319374",78,"3545","3692",147
"1","12803970","12804003",33,"10991","11325",334
"1","12803970","12804003",33,"12423","12516",93
"1","12803970","12804003",33,"9538","9560",22
"2","114503252","114503962",710,"15974","16091",117
"3","215173246","215173295",49,"12456","12623",167
"2","114497682","114498134",452,"10388","10623",235
"2","224319296","224319374",78,"6118","6234",116
"3","271990062","271990215",153,"11578","11712",134
"1","14711327","14711352",25,"17","51",34
"1","12803970","12804003",33,"13163","13667",504
"2","114503252","114503962",710,"11","49",38
"3","204710103","204710197",94,"2","226",224
"2","169584691","169584810",119,"556","595",39
"1","119868661","119868917",256,"15448","15629",181
"2","3267133","3267209",76,"7384","7624",240
