"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"NIGP01001492","234885","235219",334,"1","39",38
"NIGP01001900","28291","28780",489,"11098","11325",227
"NIGP01001900","28291","28780",489,"5948","6078",130
"3","401479790","401479896",106,"808","836",28
"NIGP01000723","16087","16109",22,"15819","15971",152
"NIGP01001900","28291","28780",489,"12313","12892",579
"1","310576928","310577315",387,"12965","13132",167
"NIGP01001492","234885","235219",334,"6540","6701",161
"2","391139863","391139889",26,"16297","16459",162
"1","284465495","284465612",117,"11104","11141",37
"1","291024824","291025066",242,"11521","11559",38
"2","321982796","321982914",118,"8000","8240",240
"3","364573767","364574045",278,"11201","11335",134
"3","215173267","215173295",28,"12519","12644",125
"3","175073635","175073900",265,"5709","5734",25
"1","121549797","121549822",25,"11105","11158",53
"1","119868707","119868853",146,"15448","15629",181
"2","114499537","114499561",24,"13951","13989",38
"2","114498129","114498156",27,"11552","11578",26
"3","124007716","124007737",21,"2921","3048",127
"2","332176338","332176508",170,"4511","4768",257
"3","137885149","137885200",51,"80","119",39
"2","304093059","304093743",684,"13192","13221",29
"1","191811395","191811422",27,"11110","11729",619
"2","303165465","303165759",294,"16322","16355",33
"3","240418703","240419363",660,"11684","11725",41
"2","3267133","3267355",222,"7335","7529",194
