"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"NIGP01001900","28290","28778",488,"16187","16558",371
"3","364573757","364574045",288,"11244","11272",28
"1","310576901","310577328",427,"12934","13169",235
"NIGP01001900","28290","28778",488,"12437","12669",232
"NIGP01001900","28290","28778",488,"2680","3183",503
"NIGP01001900","28290","28778",488,"5459","5947",488
"3","273293793","273293854",61,"9558","9639",81
"3","401479585","401479927",342,"808","846",38
"1","284465477","284465612",135,"11104","11126",22
"3","359999546","360000049",503,"5434","5519",85
"1","119868680","119868862",182,"14800","14824",24
"1","214398633","214398754",121,"10617","10681",64
"2","224319314","224319382",68,"3561","3617",56
"1","291024866","291025182",316,"11337","11580",243
"2","463757084","463757699",615,"11632","11714",82
"2","150172207","150172670",463,"10991","11023",32
"1","119868680","119868862",182,"15448","15629",181
"3","160406226","160406456",230,"8988","9181",193
"2","60224865","60225189",324,"11276","11347",71
"2","150172207","150172670",463,"8133","8249",116
"2","114499603","114499633",30,"12450","12601",151
"2","293333555","293333849",294,"16355","16451",96
"2","105218254","105218483",229,"11037","11117",80
"3","124007460","124007732",272,"2965","3594",629
"2","169584737","169584853",116,"556","582",26
"3","25051433","25051477",44,"717","842",125
"2","3267133","3267248",115,"7372","7642",270
