"chr","start","end","chr_matchLen","mt_start","mt_end","mt_matchLen"
"NIGP01001382","192","584",392,"11893","11928",35
"NIGP01001900","28291","28800",509,"14088","14308",220
"3","381561178","381561240",62,"5452","5533",81
"1","285701366","285701426",60,"13374","13560",186
"NIGP01001900","28291","28800",509,"6650","6746",96
"NIGP01001900","28291","28800",509,"12434","12998",564
"1","310576967","310577284",317,"13002","13129",127
"2","391139863","391139953",90,"16281","16449",168
"1","260612600","260612849",249,"14699","14750",51
"1","244998883","244998994",111,"12622","12737",115
"1","244998883","244998994",111,"6443","6671",228
"3","364573769","364574045",276,"11198","11323",125
"1","244998883","244998994",111,"8300","8322",22
"3","359999554","359999791",237,"5360","5583",223
"2","391139863","391139953",90,"1","40",39
"1","191828722","191828743",21,"4629","5040",411
"1","15459438","15459698",260,"5014","5312",298
"1","119868692","119868917",225,"15448","15629",181
"1","12803964","12803990",26,"11104","11351",247
"1","12803964","12803990",26,"12460","12599",139
"3","326460134","326460210",76,"6670","6721",51
"2","303165465","303165618",153,"16313","16357",44
"2","101605261","101605329",68,"16322","16349",27
"1","91635109","91635138",29,"15448","15629",181
"3","124007345","124007881",536,"2975","3599",624
"2","3267132","3267457",325,"7373","7481",108
